"R0000100","R0069300","R0069400","R0069600","R0070400","R0070500","R0074300","R0357900","R0358300","R0504200","R0515100","R0536300","R0536401","R0536402","R1205300","R1205400","R1211000","R1217500","R1482600","R9788600","R9788700","R9788800","R9788900","R9793100","R9864300","R9871900"
167,0,1,3,1,-2,3,0,0,-4,-4,1,11,1984,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
168,1,2,2,3,1,-4,1,0,-4,50,1,1,1981,1,5,1,1,2,-3,-3,-3,5,4,300,246
169,7,1,2,2,1,2,1,0,-4,-4,2,1,1983,1,5,1,1,4,2,2,2,4,4,250,317
170,4,1,2,2,1,2,0,0,-4,-4,2,8,1984,1,5,1,1,4,-3,-3,-3,4,4,350,320
171,3,1,4,2,1,2,0,0,-4,-4,2,7,1984,1,4,1,1,2,-3,-3,-3,4,4,300,329
172,7,2,3,1,1,2,0,0,-4,-4,1,7,1983,1,3,1,0,4,-4,-4,-4,-4,-4,-4,-4
173,14,2,3,3,2,-4,1,1,-4,100,2,6,1980,1,5,1,0,4,2,2,1,4,4,300,341
174,8,2,3,1,1,2,0,0,-4,-4,1,4,1983,1,5,1,0,4,2,2,2,4,4,400,292
175,2,1,4,4,2,-4,1,1,-4,100,2,10,1981,1,4,1,0,4,2,2,1,4,4,350,328
176,3,2,3,4,1,1,0,0,-4,-4,1,9,1982,1,7,1,0,4,2,2,1,4,5,450,339
177,3,2,3,4,3,-4,1,1,-4,100,2,11,1980,1,4,1,0,4,2,2,1,4,4,500,316
178,1,1,3,2,1,-4,0,0,-4,100,2,3,1980,1,5,1,0,4,-4,-4,-4,-4,-4,-4,-4
179,0,2,3,2,2,-4,0,0,-4,100,2,9,1981,1,5,1,0,4,2,2,1,4,5,400,370
180,3,1,2,1,1,1,0,0,-4,-4,1,9,1983,1,5,1,0,4,-4,-4,-4,-4,-4,-4,-4
181,4,2,2,2,1,0,0,0,-4,-4,2,11,1982,1,4,1,0,4,2,2,1,4,4,400,370
182,3,1,2,1,1,0,0,0,-4,-4,2,5,1984,1,4,1,0,4,2,2,1,4,-3,450,363
183,2,2,2,4,2,-4,0,0,-4,95,2,12,1980,1,4,1,0,4,2,2,1,4,4,300,299
184,0,2,1,2,1,3,0,1,-4,-4,1,12,1984,1,4,1,1,4,-3,-3,1,4,-3,400,265
185,4,2,3,4,4,-4,1,1,-4,35,1,6,1981,2,4,4,1,1,-4,-4,-4,-4,-4,-4,-4
186,1,2,3,4,2,2,0,0,-4,-4,2,7,1983,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
187,0,2,2,4,1,2,0,0,-4,-4,1,9,1983,1,6,1,1,2,-3,-3,-3,4,-3,400,287
188,2,2,3,4,5,-4,1,1,-4,75,2,10,1980,4,2,1,1,4,2,2,2,4,-3,300,313
189,0,2,3,2,1,1,0,0,-4,-4,2,8,1984,4,5,1,1,4,2,2,-3,4,-3,350,285
190,4,2,3,4,1,3,1,1,-4,-4,1,10,1983,4,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
191,1,2,1,3,2,0,1,1,-4,-4,1,2,1982,6,3,1,1,4,2,2,2,3,-3,200,268
192,2,2,3,3,3,2,0,0,-4,-4,2,3,1982,4,3,1,1,2,-4,-4,-4,-4,-4,-4,-4
193,4,3,3,5,4,-4,0,0,-4,60,2,2,1981,4,4,1,1,1,2,2,2,4,4,500,179
194,1,2,3,4,4,-4,1,1,-4,50,2,10,1980,9,4,1,1,2,2,2,2,4,4,500,283
195,4,4,1,3,3,2,1,0,-4,-4,1,1,1983,4,2,1,1,1,-4,-4,-4,-4,-4,-4,-4
196,7,2,2,1,1,4,0,0,-4,-4,1,4,1984,1,4,2,1,2,-4,-4,-4,-4,-4,-4,-4
197,17,3,3,3,3,-4,1,1,-4,100,2,12,1981,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
198,7,3,1,4,4,-4,1,1,-4,95,2,7,1980,8,5,1,1,4,2,2,2,2,2,100,293
199,1,2,2,1,1,2,1,1,-4,-4,1,6,1982,1,4,1,1,4,2,2,2,4,3,300,301
200,0,2,2,3,3,-4,0,0,-4,85,1,8,1980,4,5,1,1,4,1,2,2,4,3,400,352
201,13,2,3,2,1,2,0,1,-4,-4,2,12,1983,1,3,1,1,4,2,2,2,4,3,400,320
202,8,2,1,1,1,-3,1,0,-4,-4,1,1,1982,1,4,1,1,4,2,2,2,6,5,200,288
203,3,1,2,2,1,-3,0,1,-4,-4,2,1,1984,1,4,1,1,4,2,2,2,6,5,300,356
204,13,2,1,5,4,-4,1,1,-4,85,2,5,1981,4,3,1,1,4,2,2,2,6,5,400,292
205,4,3,2,4,2,3,0,1,-4,-4,2,11,1983,4,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
206,9,3,3,4,3,2,1,1,-4,-4,1,2,1982,1,7,1,1,4,2,2,2,7,5,500,298
207,0,2,3,3,3,-4,1,1,-4,90,2,11,1981,1,7,1,1,4,2,2,1,7,5,400,318
208,1,2,3,1,1,1,0,1,-4,-4,2,3,1984,1,7,2,1,4,2,2,1,5,5,500,359
209,0,2,2,3,2,3,0,0,-4,-4,1,6,1983,1,5,1,1,2,-3,-3,-3,5,4,250,195
